distribution,threshold,n_contents,store_bytes,write_ms,read_p50_us,read_p99_us,read_p999_us,inlined,non_inlined,size_stats
uniform-small,off,10000,1112207,68.43,16.93,157.12,380.04,0,10000,"n=10000, min=1, p50=5, p90=9, p99=10, max=10, mean=5.4"
uniform-small,48,10000,1097283,80.25,4.05,96.08,638.96,10000,0,"n=10000, min=1, p50=5, p90=9, p99=10, max=10, mean=5.5"
uniform-large,off,10000,2433028,73.25,16.93,168.09,380.04,0,10000,"n=10000, min=50, p50=125, p90=185, p99=199, max=200, mean=125.1"
uniform-large,48,10000,2431755,90.69,17.17,165.94,393.87,0,10000,"n=10000, min=50, p50=126, p90=186, p99=199, max=200, mean=125.8"
around-threshold,off,10000,1351190,71.79,16.21,165.94,392.20,0,10000,"n=10000, min=5, p50=17, p90=28, p99=30, max=30, mean=17.5"
around-threshold,48,10000,1457210,85.09,4.05,72.00,355.01,10000,0,"n=10000, min=5, p50=18, p90=28, p99=30, max=30, mean=17.5"
mostly-small,off,10000,1442542,71.03,16.93,159.98,416.04,0,10000,"n=10000, min=8, p50=8, p90=100, p99=100, max=100, mean=26.9"
mostly-small,48,10000,1454641,87.79,5.96,182.15,327.11,8042,1958,"n=10000, min=8, p50=8, p90=100, p99=100, max=100, mean=26.0"
mostly-large,off,10000,1993990,71.42,16.93,158.07,386.95,0,10000,"n=10000, min=8, p50=100, p90=100, p99=100, max=100, mean=81.5"
mostly-large,48,10000,1994071,88.53,14.07,183.11,458.00,2064,7936,"n=10000, min=8, p50=100, p90=100, p99=100, max=100, mean=81.0"
log-normal-small,off,10000,1492634,70.91,16.93,169.04,411.99,0,10000,"n=10000, min=1, p50=20, p90=72, p99=202, max=1000, mean=32.5"
log-normal-small,48,10000,1583219,87.52,5.96,139.00,441.79,7986,2014,"n=10000, min=1, p50=20, p90=71, p99=191, max=647, mean=32.1"
log-normal-medium,off,10000,3617901,76.41,17.17,168.09,434.88,0,10000,"n=10000, min=1, p50=148, p90=530, p99=1544, max=6886, mean=243.6"
log-normal-medium,48,10000,3666724,93.61,15.97,168.80,351.91,1226,8774,"n=10000, min=3, p50=145, p90=519, p99=1458, max=5503, mean=238.9"
zipfian-small,off,10000,1179744,65.41,15.97,157.12,369.07,0,10000,"n=10000, min=1, p50=8, p90=61, p99=96, max=100, mean=19.5"
zipfian-small,48,10000,1207501,74.60,5.01,193.83,545.02,8506,1494,"n=10000, min=1, p50=8, p90=59, p99=96, max=100, mean=19.1"
zipfian-medium,off,10000,2377887,68.75,16.93,161.89,371.93,0,10000,"n=10000, min=1, p50=24, p90=483, p99=926, max=1000, mean=134.1"
zipfian-medium,48,10000,2398380,82.75,9.06,194.07,489.00,5848,4152,"n=10000, min=1, p50=24, p90=483, p99=930, max=998, mean=136.6"
zipfian-steep,off,10000,855017,53.46,15.97,153.06,285.86,0,10000,"n=10000, min=1, p50=2, p90=20, p99=83, max=100, mean=7.7"
zipfian-steep,48,10000,837705,59.99,4.05,97.04,484.94,9612,388,"n=10000, min=1, p50=2, p90=21, p99=79, max=100, mean=7.6"
