# Distribution    No-Inline    Inline-48    Improvement%
zipfian-medium         161.89       194.07        -19.9
mostly-large           158.07       183.11        -15.8
uniform-small          157.12        96.08         38.8
log-normal-medium      168.09       168.80         -0.4
zipfian-steep          153.06        97.04         36.6
around-threshold       165.94        72.00         56.6
uniform-large          168.09       165.94          1.3
zipfian-small          157.12       193.83        -23.4
mostly-small           159.98       182.15        -13.9
log-normal-small       169.04       139.00         17.8
