# domains,min_time,median_time,max_time,min_ratio,median_ratio,max_ratio,joules,milliseconds
1,1557.60,1570.80,1643.44,1.00,1.05,1.06,792.91,33314
2,817.02,917.99,928.01,1.74,1.76,1.97,647.09,26168
3,585.54,614.26,635.47,2.56,2.65,2.78,598.78,23388
4,466.89,485.96,493.77,3.27,3.33,3.46,582.86,21852
5,412.36,424.41,441.40,3.59,3.73,3.84,577.76,21152
6,355.37,373.59,383.13,4.16,4.27,4.49,559.52,20879
7,324.51,335.62,350.89,4.73,4.94,5.11,542.59,20895
8,279.07,305.82,317.23,5.22,5.41,5.93,534.68,20584
9,256.21,280.95,285.06,5.80,5.89,6.45,528.27,20339
10,243.37,263.83,269.33,6.13,6.26,6.78,525.97,20145
11,224.54,254.36,260.95,6.35,6.51,7.38,525.36,20073
12,217.84,237.97,242.89,6.77,6.91,7.55,521.81,19894
13,214.36,234.23,242.47,6.77,7.01,7.66,515.39,19767
14,207.75,223.50,242.45,6.68,7.25,7.80,519.80,19466
15,206.71,220.50,236.88,6.99,7.51,8.02,511.39,19836
