# domains,min_time,median_time,max_time,min_ratio,median_ratio,max_ratio
1,6986.45,7028.05,7066.99,1.01,1.01,1.02
2,5217.34,5422.51,5647.74,1.26,1.31,1.37
3,4721.89,4837.55,4887.36,1.46,1.47,1.51
4,4409.42,4427.74,4550.09,1.57,1.61,1.62
5,4433.97,4508.54,4588.95,1.55,1.58,1.61
6,4503.04,4578.05,4626.02,1.54,1.56,1.58
7,4467.63,4667.88,4728.60,1.51,1.53,1.59
8,4455.24,4597.85,4656.14,1.53,1.55,1.60
9,4477.87,4667.56,4748.50,1.50,1.53,1.59
10,4524.65,4596.55,4674.14,1.52,1.55,1.57
11,4531.46,4672.90,4788.05,1.49,1.52,1.57
12,4542.87,4651.88,4800.38,1.48,1.53,1.57
13,4602.25,4722.31,4793.94,1.49,1.51,1.55
14,4728.10,4783.73,4871.22,1.46,1.49,1.51
15,4705.73,4796.93,4877.87,1.46,1.49,1.51
16,4748.50,4787.73,4908.10,1.45,1.49,1.50
