# domains,min_time,median_time,max_time,min_ratio,median_ratio,max_ratio
1,7313.10,7385.58,7449.08,0.98,0.99,1.00
2,4045.14,4157.97,4589.06,1.59,1.76,1.81
3,3041.74,3141.72,3298.88,2.21,2.32,2.40
4,2554.30,2623.21,2670.53,2.73,2.78,2.86
5,2526.66,2617.40,2668.70,2.74,2.79,2.89
6,2412.70,2511.29,2554.30,2.86,2.91,3.03
7,2362.42,2417.18,2481.27,2.94,3.02,3.09
8,2333.71,2372.28,2422.73,3.01,3.08,3.13
9,2397.34,2418.04,2466.67,2.96,3.02,3.05
10,2353.12,2391.71,2485.23,2.94,3.05,3.10
11,2383.91,2413.35,2434.22,3.00,3.03,3.06
12,2337.87,2413.98,2517.76,2.90,3.02,3.12
13,2373.22,2463.09,2538.27,2.88,2.96,3.08
14,2482.40,2496.34,2507.43,2.91,2.93,2.94
15,2456.95,2537.86,2563.28,2.85,2.88,2.97
16,2454.54,2585.10,2638.92,2.77,2.82,2.97
