entries,implementation,reachable_words,allocated_words,time(ns)
1000,irmin,6425,2428.000000,1406
2000,irmin,9621,2435.000000,684
3000,irmin,14417,2442.000000,764
4000,irmin,21609,2449.000000,869
5000,irmin,32397,2456.000000,1204
6000,irmin,32397,2456.000000,441
7000,irmin,32397,2456.000000,569
8000,irmin,48581,2463.000000,1330
9000,irmin,48581,2463.000000,433
10000,irmin,48581,2463.000000,533
11000,irmin,72857,2470.000000,2013
12000,irmin,72857,2470.000000,387
13000,irmin,72857,2470.000000,471
14000,irmin,72857,2470.000000,470
15000,irmin,72857,2470.000000,688
16000,irmin,72857,2470.000000,452
17000,irmin,109269,264591.000000,1532
18000,irmin,109269,264591.000000,198
19000,irmin,109269,264591.000000,207
20000,irmin,109269,264591.000000,229
21000,irmin,109269,264591.000000,253
22000,irmin,109269,264591.000000,258
23000,irmin,109269,264591.000000,318
24000,irmin,109269,264591.000000,428
25000,irmin,163889,264626.000000,2001
26000,irmin,163889,264626.000000,198
27000,irmin,163889,264626.000000,232
28000,irmin,163889,264626.000000,226
29000,irmin,163889,264626.000000,213
30000,irmin,163889,264626.000000,224
31000,irmin,163889,264626.000000,229
32000,irmin,163889,264626.000000,248
33000,irmin,163889,264626.000000,291
34000,irmin,163889,264626.000000,307
35000,irmin,163889,264626.000000,355
36000,irmin,163889,264626.000000,463
37000,irmin,245817,526748.000000,3420
38000,irmin,245817,526748.000000,213
39000,irmin,245817,526748.000000,222
40000,irmin,245817,526776.000000,222
41000,irmin,245817,526776.000000,226
42000,irmin,245817,526776.000000,231
43000,irmin,245817,526776.000000,235
44000,irmin,245817,526776.000000,236
45000,irmin,245817,526776.000000,246
46000,irmin,245817,526776.000000,253
47000,irmin,245817,526776.000000,265
48000,irmin,245817,526776.000000,271
49000,irmin,245817,526776.000000,288
50000,irmin,245817,526776.000000,317
51000,irmin,245817,526776.000000,342
52000,irmin,245817,526776.000000,373
53000,irmin,245817,526776.000000,427
54000,irmin,245817,526776.000000,511
55000,irmin,245817,526776.000000,597
56000,irmin,368709,786090.000000,4856
57000,irmin,368709,786090.000000,221
58000,irmin,368709,786090.000000,223
59000,irmin,368709,786090.000000,242
60000,irmin,368709,786090.000000,237
61000,irmin,368709,786090.000000,231
62000,irmin,368709,786090.000000,229
63000,irmin,368709,786090.000000,238
64000,irmin,368709,786090.000000,238
65000,irmin,368709,786090.000000,248
66000,irmin,368709,786090.000000,244
67000,irmin,368709,786090.000000,272
68000,irmin,368709,1048224.000000,271
69000,irmin,368709,1048224.000000,271
70000,irmin,368709,1048224.000000,262
71000,irmin,368709,1048224.000000,277
72000,irmin,368709,1048224.000000,296
73000,irmin,368709,1048224.000000,311
74000,irmin,368709,1048224.000000,315
75000,irmin,368709,1048224.000000,333
76000,irmin,368709,1048224.000000,344
77000,irmin,368709,1048224.000000,369
78000,irmin,368709,1048224.000000,419
79000,irmin,368709,1048224.000000,442
80000,irmin,368709,1048224.000000,481
81000,irmin,368709,1048224.000000,550
82000,irmin,368709,1048224.000000,651
83000,irmin,553049,1177340.000000,6813
84000,irmin,553049,1177340.000000,228
85000,irmin,553049,1439480.000000,227
86000,irmin,553049,1439480.000000,225
87000,irmin,553049,1439480.000000,227
88000,irmin,553049,1439480.000000,229
89000,irmin,553049,1439480.000000,232
90000,irmin,553049,1439480.000000,231
91000,irmin,553049,1439480.000000,234
92000,irmin,553049,1439480.000000,235
93000,irmin,553049,1439480.000000,235
94000,irmin,553049,1439480.000000,245
95000,irmin,553049,1439480.000000,241
96000,irmin,553049,1439480.000000,251
97000,irmin,553049,1439480.000000,252
98000,irmin,553049,1439480.000000,268
99000,irmin,553049,1439480.000000,277
100000,irmin,553049,1439480.000000,269
101000,irmin,553049,1439483.000000,259
102000,irmin,553049,1439483.000000,292
103000,irmin,553049,1439483.000000,273
104000,irmin,553049,1439483.000000,270
105000,irmin,553049,1439483.000000,281
106000,irmin,553049,1439483.000000,287
107000,irmin,553049,1439483.000000,298
108000,irmin,553049,1439483.000000,305
109000,irmin,553049,1439483.000000,317
110000,irmin,553049,1439483.000000,318
111000,irmin,553049,1439483.000000,321
112000,irmin,553049,1439483.000000,331
113000,irmin,553049,1439483.000000,372
114000,irmin,553049,1439483.000000,375
115000,irmin,553049,1439483.000000,389
116000,irmin,553049,1439483.000000,413
117000,irmin,553049,1701624.000000,450
118000,irmin,553049,1701624.000000,468
119000,irmin,553049,1701624.000000,471
120000,irmin,553049,1701624.000000,501
121000,irmin,553049,1701624.000000,559
122000,irmin,553049,1701624.000000,593
123000,irmin,553049,1701624.000000,675
124000,irmin,553049,1701624.000000,801
125000,irmin,829557,2026561.000000,10889
